time,concentration
581.8,1.096e-06
583.8,1.092e-06
585.8,1.088e-06
587.8,1.085e-06
589.8,1.081e-06
591.8,1.077e-06
593.8,1.073e-06
595.8,1.069e-06
597.8,1.069e-06
599.8,1.066e-06
601.8,1.062e-06
603.8,1.058e-06
605.8,1.054e-06
607.8,1.054e-06
609.8,1.05e-06
611.8,1.047e-06
613.8,1.043e-06
615.8,1.043e-06
617.8,1.039e-06
619.8,1.035e-06
621.8,1.035e-06
623.8,1.031e-06
625.8,1.028e-06
627.8,1.024e-06
629.8,1.02e-06
631.8,1.02e-06
633.8,1.016e-06
635.8,1.013e-06
637.8,1.013e-06
639.8,1.009e-06
641.8,1.005e-06
643.8,1.001e-06
645.8,9.98e-07
647.8,9.98e-07
649.8,9.94e-07
651.8,9.9e-07
653.8,9.86e-07
655.8,9.83e-07
657.8,9.79e-07
659.8,9.79e-07
661.8,9.75e-07
663.8,9.71e-07
665.8,9.71e-07
667.8,9.71e-07
669.8,9.68e-07
671.8,9.64e-07
673.8,9.6e-07
675.8,9.56e-07
677.8,9.53e-07
679.8,9.53e-07
681.8,9.49e-07
683.8,9.45e-07
685.8,9.42e-07
687.8,9.42e-07
689.8,9.38e-07
691.8,9.34e-07
693.8,9.34e-07
695.8,9.3e-07
697.8,9.27e-07
699.8,9.27e-07
701.8,9.23e-07
703.8,9.19e-07
705.8,9.19e-07
707.8,9.16e-07
709.8,9.16e-07
711.8,9.12e-07
713.8,9.12e-07
715.8,9.08e-07
717.8,9.04e-07
719.8,9.04e-07
721.8,9.01e-07
723.8,8.97e-07
725.8,8.97e-07
727.8,8.93e-07
729.8,8.9e-07
731.8,8.9e-07
733.8,8.86e-07
735.8,8.82e-07
737.8,8.79e-07
739.8,8.79e-07
741.8,8.75e-07
743.8,8.71e-07
745.8,8.68e-07
747.8,8.68e-07
749.8,8.64e-07
751.8,8.6e-07
753.8,8.6e-07
755.8,8.57e-07
757.8,8.53e-07
759.8,8.49e-07
761.8,8.49e-07
763.8,8.46e-07
765.8,8.46e-07
767.8,8.42e-07
769.8,8.38e-07
771.8,8.38e-07
773.8,8.35e-07
775.9,8.31e-07
777.8,8.31e-07
779.8,8.27e-07
781.8,8.24e-07
783.8,8.24e-07
785.8,8.2e-07
787.8,8.2e-07
789.8,8.16e-07
791.8,8.13e-07
793.8,8.13e-07
795.8,8.09e-07
797.8,8.09e-07
799.8,8.05e-07
801.8,8.02e-07
803.8,8.02e-07
805.8,7.98e-07
807.8,7.95e-07
809.8,7.95e-07
811.8,7.95e-07
813.8,7.91e-07
815.8,7.87e-07
817.8,7.87e-07
819.8,7.84e-07
821.8,7.84e-07
823.8,7.8e-07
825.8,7.8e-07
827.8,7.76e-07
829.8,7.76e-07
831.8,7.73e-07
833.8,7.69e-07
835.8,7.69e-07
837.8,7.66e-07
839.8,7.66e-07
841.8,7.66e-07
843.8,7.62e-07
845.8,7.58e-07
847.8,7.58e-07
849.8,7.55e-07
851.8,7.55e-07
853.8,7.51e-07
855.8,7.51e-07
857.8,7.48e-07
859.8,7.48e-07
861.8,7.44e-07
863.8,7.44e-07
865.8,7.4e-07
867.8,7.4e-07
869.4,7.37e-07
